Rank,Australia,Bahrain,China,Azerbaijan,Spain,Monaco,Canada,France,Austria,Great Britain,Germany,Hungary,Belgium,Italy,Singapore,Russia,Japan,Mexico,United States,Brazil,Abu Dhabi
1,Valtteri Bottas,Lewis Hamilton,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Charles Leclerc,Charles Leclerc,Sebastian Vettel,Lewis Hamilton,Valtteri Bottas,Lewis Hamilton,Valtteri Bottas,Max Verstappen,Lewis Hamilton
2,Lewis Hamilton,Valtteri Bottas,Valtteri Bottas,Lewis Hamilton,Valtteri Bottas,Sebastian Vettel,Sebastian Vettel,Valtteri Bottas,Charles Leclerc,Valtteri Bottas,Sebastian Vettel,Max Verstappen,Lewis Hamilton,Valtteri Bottas,Charles Leclerc,Valtteri Bottas,Sebastian Vettel,Sebastian Vettel,Lewis Hamilton,Pierre Gasly,Max Verstappen
3,Max Verstappen,Charles Leclerc,Sebastian Vettel,Sebastian Vettel,Max Verstappen,Valtteri Bottas,Charles Leclerc,Charles Leclerc,Valtteri Bottas,Charles Leclerc,Daniil Kvyat,Sebastian Vettel,Valtteri Bottas,Lewis Hamilton,Max Verstappen,Charles Leclerc,Lewis Hamilton,Valtteri Bottas,Max Verstappen,Carlos Sainz,Charles Leclerc
4,Sebastian Vettel,Max Verstappen,Max Verstappen,Max Verstappen,Sebastian Vettel,Max Verstappen,Valtteri Bottas,Max Verstappen,Sebastian Vettel,Pierre Gasly,Lance Stroll,Charles Leclerc,Sebastian Vettel,Daniel Ricciardo,Lewis Hamilton,Max Verstappen,Alexander Albon,Charles Leclerc,Charles Leclerc,Kimi Räikkönen,Valtteri Bottas
5,Charles Leclerc,Sebastian Vettel,Charles Leclerc,Charles Leclerc,Charles Leclerc,Pierre Gasly,Max Verstappen,Sebastian Vettel,Lewis Hamilton,Max Verstappen,Carlos Sainz,Carlos Sainz,Alexander Albon,Nico Hulkenberg,Valtteri Bottas,Alexander Albon,Carlos Sainz,Alexander Albon,Alexander Albon,Antonio Giovinazzi,Sebastian Vettel
6,Kevin Magnussen,Lando Norris,Pierre Gasly,Sergio Perez,Pierre Gasly,Carlos Sainz,Daniel Ricciardo,Carlos Sainz,Lando Norris,Carlos Sainz,Alexander Albon,Pierre Gasly,Sergio Perez,Alexander Albon,Alexander Albon,Carlos Sainz,Daniel Ricciardo,Max Verstappen,Daniel Ricciardo,Daniel Ricciardo,Alexander Albon
7,Nico Hulkenberg,Kimi Räikkönen,Daniel Ricciardo,Carlos Sainz,Kevin Magnussen,Daniil Kvyat,Nico Hulkenberg,Kimi Räikkönen,Pierre Gasly,Daniel Ricciardo,Romain Grosjean,Kimi Räikkönen,Daniil Kvyat,Sergio Perez,Lando Norris,Sergio Perez,Charles Leclerc,Sergio Perez,Lando Norris,Lewis Hamilton,Sergio Perez
8,Kimi Räikkönen,Pierre Gasly,Sergio Perez,Lando Norris,Carlos Sainz,Alexander Albon,Pierre Gasly,Nico Hulkenberg,Carlos Sainz,Kimi Räikkönen,Kevin Magnussen,Valtteri Bottas,Nico Hulkenberg,Max Verstappen,Pierre Gasly,Lando Norris,Pierre Gasly,Daniel Ricciardo,Carlos Sainz,Lando Norris,Lando Norris
9,Lance Stroll,Alexander Albon,Kimi Räikkönen,Lance Stroll,Daniil Kvyat,Daniel Ricciardo,Lance Stroll,Lando Norris,Kimi Räikkönen,Daniil Kvyat,Lewis Hamilton,Lando Norris,Pierre Gasly,Antonio Giovinazzi,Nico Hulkenberg,Kevin Magnussen,Sergio Perez,Pierre Gasly,Nico Hulkenberg,Sergio Perez,Daniil Kvyat
10,Daniil Kvyat,Sergio Perez,Alexander Albon,Kimi Räikkönen,Romain Grosjean,Romain Grosjean,Daniil Kvyat,Pierre Gasly,Antonio Giovinazzi,Nico Hulkenberg,Robert Kubica,Alexander Albon,Lance Stroll,Lando Norris,Antonio Giovinazzi,Nico Hulkenberg,Nico Hulkenberg,Nico Hulkenberg,Sergio Perez,Daniil Kvyat,Carlos Sainz
11,Pierre Gasly,Antonio Giovinazzi,Romain Grosjean,Alexander Albon,Alexander Albon,Lando Norris,Carlos Sainz,Daniel Ricciardo,Sergio Perez,Lando Norris,George Russell,Sergio Perez,Lando Norris,Pierre Gasly,Romain Grosjean,Lance Stroll,Lance Stroll,Daniil Kvyat,Kimi Räikkönen,Kevin Magnussen,Daniel Ricciardo
12,Lando Norris,Daniil Kvyat,Lance Stroll,Antonio Giovinazzi,Daniel Ricciardo,Sergio Perez,Sergio Perez,Sergio Perez,Daniel Ricciardo,Alexander Albon,Kimi Räikkönen,Nico Hulkenberg,Kevin Magnussen,Lance Stroll,Carlos Sainz,Daniil Kvyat,Daniil Kvyat,Lance Stroll,Daniil Kvyat,George Russell,Nico Hulkenberg
13,Sergio Perez,Kevin Magnussen,Kevin Magnussen,Kevin Magnussen,Nico Hulkenberg,Nico Hulkenberg,Antonio Giovinazzi,Lance Stroll,Nico Hulkenberg,Lance Stroll,Antonio Giovinazzi,Kevin Magnussen,Romain Grosjean,Sebastian Vettel,Lance Stroll,Kimi Räikkönen,Lando Norris,Carlos Sainz,Lance Stroll,Romain Grosjean,Kimi Räikkönen
14,Alexander Albon,Lance Stroll,Carlos Sainz,Nico Hulkenberg,Kimi Räikkönen,Kevin Magnussen,Romain Grosjean,Daniil Kvyat,Lance Stroll,George Russell,Pierre Gasly,Daniel Ricciardo,Daniel Ricciardo,George Russell,Daniel Ricciardo,Pierre Gasly,Kimi Räikkönen,Antonio Giovinazzi,Antonio Giovinazzi,Alexander Albon,Kevin Magnussen
15,Antonio Giovinazzi,George Russell,Antonio Giovinazzi,George Russell,Sergio Perez,George Russell,Kimi Räikkönen,Alexander Albon,Alexander Albon,Robert Kubica,Valtteri Bottas,Daniil Kvyat,George Russell,Kimi Räikkönen,Daniil Kvyat,Antonio Giovinazzi,Romain Grosjean,Kevin Magnussen,Romain Grosjean,Nico Hulkenberg,Romain Grosjean
16,George Russell,Robert Kubica,George Russell,Robert Kubica,Antonio Giovinazzi,Lance Stroll,George Russell,Antonio Giovinazzi,Romain Grosjean,Sebastian Vettel,Nico Hulkenberg,George Russell,Kimi Räikkönen,Romain Grosjean,Robert Kubica,Robert Kubica,Antonio Giovinazzi,George Russell,Pierre Gasly,Robert Kubica,Antonio Giovinazzi
17,Robert Kubica,Nico Hulkenberg,Robert Kubica,Pierre Gasly,George Russell,Kimi Räikkönen,Kevin Magnussen,Kevin Magnussen,Daniil Kvyat,Sergio Perez,Charles Leclerc,Lance Stroll,Robert Kubica,Robert Kubica,Kevin Magnussen,George Russell,Kevin Magnussen,Romain Grosjean,George Russell,Sebastian Vettel,George Russell
18,Romain Grosjean,Daniel Ricciardo,Lando Norris,Romain Grosjean,Robert Kubica,Robert Kubica,Robert Kubica,Robert Kubica,George Russell,Antonio Giovinazzi,Lando Norris,Antonio Giovinazzi,Antonio Giovinazzi,Kevin Magnussen,Kimi Räikkönen,Sebastian Vettel,George Russell,Robert Kubica,Kevin Magnussen,Charles Leclerc,Pierre Gasly
19,Daniel Ricciardo,Carlos Sainz,Daniil Kvyat,Daniil Kvyat,Lance Stroll,Antonio Giovinazzi,Alexander Albon,George Russell,Kevin Magnussen,Romain Grosjean,Daniel Ricciardo,Robert Kubica,Carlos Sainz,Daniil Kvyat,Sergio Perez,Daniel Ricciardo,Robert Kubica,Kimi Räikkönen,Robert Kubica,Lance Stroll,Robert Kubica
20,Carlos Sainz,Romain Grosjean,Nico Hulkenberg,Daniel Ricciardo,Lando Norris,Charles Leclerc,Lando Norris,Romain Grosjean,Robert Kubica,Kevin Magnussen,Sergio Perez,Romain Grosjean,Max Verstappen,Carlos Sainz,George Russell,Romain Grosjean,Max Verstappen,Lando Norris,Sebastian Vettel,Valtteri Bottas,Lance Stroll